,level_0,index,Date,precipMM,tempC,year
0,0,0,2016-01-01,0.0,-5.75,2016
1,1,1,2016-01-02,0.0,-6.0,2016
2,2,2,2016-01-03,0.1,-6.625,2016
3,3,3,2016-01-04,0.1,-10.125,2016
4,4,4,2016-01-05,0.0,-4.875,2016
5,5,5,2016-01-06,0.4,-1.0,2016
6,6,6,2016-01-07,0.9,-0.375,2016
7,7,7,2016-01-08,0.4,-1.125,2016
8,8,8,2016-01-09,0.0,-14.0,2016
9,9,9,2016-01-10,0.1,-18.625,2016
10,10,10,2016-01-11,0.1,-9.125,2016
11,11,11,2016-01-12,0.0,-17.0,2016
12,12,12,2016-01-13,0.0,-5.0,2016
13,13,13,2016-01-14,0.0,-0.25,2016
14,14,14,2016-01-15,0.2,-8.125,2016
15,15,15,2016-01-16,0.0,-15.875,2016
16,16,16,2016-01-17,0.0,-22.25,2016
17,17,17,2016-01-18,0.0,-20.875,2016
18,18,18,2016-01-19,0.7,-14.125,2016
19,19,19,2016-01-20,0.0,-8.0,2016
20,20,20,2016-01-21,0.0,-7.375,2016
21,21,21,2016-01-22,0.3,-7.5,2016
22,22,22,2016-01-23,0.1,-8.0,2016
23,23,23,2016-01-24,0.1,-4.125,2016
24,24,24,2016-01-25,0.5,-2.75,2016
25,25,25,2016-01-26,0.0,-4.25,2016
26,26,26,2016-01-27,0.0,-3.0,2016
27,27,27,2016-01-28,0.0,-1.625,2016
28,28,28,2016-01-29,0.0,-1.125,2016
29,29,29,2016-01-30,0.0,1.0,2016
30,30,30,2016-01-31,0.0,0.75,2016
31,31,31,2016-02-01,0.0,-1.75,2016
32,32,32,2016-02-02,2.7,-1.125,2016
33,33,33,2016-02-03,0.4,-7.875,2016
34,34,34,2016-02-04,0.0,-8.0,2016
35,35,35,2016-02-05,0.4,-7.125,2016
36,36,36,2016-02-06,0.0,-2.25,2016
37,37,37,2016-02-07,0.0,0.5,2016
38,38,38,2016-02-08,0.2,-7.75,2016
39,39,39,2016-02-09,0.0,-13.25,2016
40,40,40,2016-02-10,0.3,-10.0,2016
41,41,41,2016-02-11,0.4,-12.5,2016
42,42,42,2016-02-12,0.0,-13.0,2016
43,43,43,2016-02-13,0.9,-16.125,2016
44,44,44,2016-02-14,0.1,-9.5,2016
45,45,45,2016-02-15,0.0,-2.125,2016
46,46,46,2016-02-16,2.5,-0.125,2016
47,47,47,2016-02-17,0.1,-2.875,2016
48,48,48,2016-02-18,0.0,2.75,2016
49,49,49,2016-02-19,0.0,7.5,2016
50,50,50,2016-02-20,0.0,2.875,2016
51,51,51,2016-02-21,0.1,0.5,2016
52,52,52,2016-02-22,0.0,-1.0,2016
53,53,53,2016-02-23,0.2,1.125,2016
54,54,54,2016-02-24,0.0,-0.25,2016
55,55,55,2016-02-25,0.0,-1.25,2016
56,56,56,2016-02-26,0.0,1.0,2016
57,57,57,2016-02-27,0.0,8.625,2016
58,58,58,2016-02-28,0.0,7.375,2016
59,59,59,2016-02-29,0.0,2.0,2016
60,60,60,2016-03-01,0.4,-6.0,2016
61,61,61,2016-03-02,0.0,-4.0,2016
62,62,62,2016-03-03,0.0,-2.5,2016
63,63,63,2016-03-04,1.2,0.625,2016
64,64,64,2016-03-05,0.0,2.0,2016
65,65,65,2016-03-06,0.6,11.0,2016
66,66,66,2016-03-07,0.0,15.0,2016
67,67,67,2016-03-08,0.0,14.625,2016
68,68,68,2016-03-09,0.0,6.875,2016
69,69,69,2016-03-10,0.0,7.375,2016
70,70,70,2016-03-11,0.0,11.875,2016
71,71,71,2016-03-12,0.5,11.0,2016
72,72,72,2016-03-13,0.0,12.5,2016
73,73,73,2016-03-14,0.0,15.25,2016
74,74,74,2016-03-15,0.7,12.5,2016
75,75,75,2016-03-16,0.0,8.25,2016
76,76,76,2016-03-17,0.0,6.375,2016
77,77,77,2016-03-18,0.0,1.625,2016
78,78,78,2016-03-19,1.7999999999999998,0.0,2016
79,79,79,2016-03-20,0.0,1.625,2016
80,80,80,2016-03-21,0.0,6.75,2016
81,81,81,2016-03-22,0.0,12.75,2016
82,82,82,2016-03-23,3.1,4.75,2016
83,83,83,2016-03-24,0.1,0.0,2016
84,84,84,2016-03-25,0.1,5.0,2016
85,85,85,2016-03-26,0.0,6.5,2016
86,86,86,2016-03-27,0.0,4.625,2016
87,87,87,2016-03-28,0.0,8.0,2016
88,88,88,2016-03-29,0.0,12.0,2016
89,89,89,2016-03-30,4.0,13.25,2016
90,90,90,2016-03-31,1.1,8.0,2016
91,91,91,2016-04-01,0.1,5.0,2016
92,92,92,2016-04-02,0.0,4.375,2016
93,93,93,2016-04-03,0.0,14.5,2016
94,94,94,2016-04-04,0.0,6.5,2016
95,95,95,2016-04-05,0.6000000000000001,8.0,2016
96,96,96,2016-04-06,0.1,8.125,2016
97,97,97,2016-04-07,0.6000000000000001,5.875,2016
98,98,98,2016-04-08,0.0,2.875,2016
99,99,99,2016-04-09,0.0,3.0,2016
100,100,100,2016-04-10,1.8,10.5,2016
101,101,101,2016-04-11,0.0,4.75,2016
102,102,102,2016-04-12,0.0,6.125,2016
103,103,103,2016-04-13,1.7000000000000002,9.25,2016
104,104,104,2016-04-14,1.7,8.75,2016
105,105,105,2016-04-15,0.2,8.625,2016
106,106,106,2016-04-16,0.0,8.875,2016
107,107,107,2016-04-17,0.30000000000000004,8.625,2016
108,108,108,2016-04-18,1.4,9.375,2016
109,109,109,2016-04-19,2.1,8.25,2016
110,110,110,2016-04-20,0.4,9.0,2016
111,111,111,2016-04-21,0.0,13.125,2016
112,112,112,2016-04-22,0.0,12.625,2016
113,113,113,2016-04-23,0.0,16.25,2016
114,114,114,2016-04-24,2.1,19.875,2016
115,115,115,2016-04-25,0.0,16.375,2016
116,116,116,2016-04-26,0.0,14.125,2016
117,117,117,2016-04-27,5.8999999999999995,8.375,2016
118,118,118,2016-04-28,0.0,8.5,2016
119,119,119,2016-04-29,0.0,8.125,2016
120,120,120,2016-04-30,0.0,6.875,2016
121,121,121,2016-05-01,2.3,7.625,2016
122,122,122,2016-05-02,0.0,11.375,2016
123,123,123,2016-05-03,0.1,14.875,2016
124,124,124,2016-05-04,0.0,14.375,2016
125,125,125,2016-05-05,0.0,16.75,2016
126,126,126,2016-05-06,0.0,22.125,2016
127,127,127,2016-05-07,0.0,17.125,2016
128,128,128,2016-05-08,0.2,17.0,2016
129,129,129,2016-05-09,3.6,15.75,2016
130,130,130,2016-05-10,0.1,17.5,2016
131,131,131,2016-05-11,0.3,15.375,2016
132,132,132,2016-05-12,0.0,12.5,2016
133,133,133,2016-05-13,0.1,9.375,2016
