"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD"
"USC00131233","CARROLL, IA US","2014-01-01",,,"0.15","1.2","2.0"
"USC00131233","CARROLL, IA US","2014-01-02",,,"0.05","0.5","2.0"
"USC00131233","CARROLL, IA US","2014-01-03",,,"0.00","0.0","2.0"
"USC00131233","CARROLL, IA US","2014-01-04",,,"0.00","0.0","2.0"
"USC00131233","CARROLL, IA US","2014-01-05",,,"0.00","0.0","2.0"
"USC00131233","CARROLL, IA US","2014-01-06",,,"0.00","0.0","2.0"
"USC00131233","CARROLL, IA US","2014-01-07",,,"0.00","0.0","2.0"
"USC00131233","CARROLL, IA US","2014-01-08",,,"0.00","0.0","2.0"
"USC00131233","CARROLL, IA US","2014-01-09",,,"0.00","0.0","2.0"
"USC00131233","CARROLL, IA US","2014-01-10",,,"0.00","0.0","2.0"
"USC00131233","CARROLL, IA US","2014-01-11",,,"0.05",,
"USC00131233","CARROLL, IA US","2014-01-12",,,"0.00","0.0",
"USC00131233","CARROLL, IA US","2014-01-13",,,"0.00","0.0","0.0"
"USC00131233","CARROLL, IA US","2014-01-14",,,"0.00","0.0","0.0"
"USC00131233","CARROLL, IA US","2014-01-15",,,"0.00","0.0","0.0"
"USC00131233","CARROLL, IA US","2014-01-16",,,"0.00","0.0","0.0"
"USC00131233","CARROLL, IA US","2014-01-17",,,"0.02","0.5","1.0"
"USC00131233","CARROLL, IA US","2014-01-18",,,"0.00","0.0","1.0"
"USC00131233","CARROLL, IA US","2014-01-19",,,"0.00","0.0",
"USC00131233","CARROLL, IA US","2014-01-20",,,"0.00","0.0","0.0"
"USC00131233","CARROLL, IA US","2014-01-21",,,"0.02","0.4","1.0"
"USC00131233","CARROLL, IA US","2014-01-22",,,"0.00","0.0","1.0"
"USC00131233","CARROLL, IA US","2014-01-23",,,"0.00","0.0","1.0"
"USC00131233","CARROLL, IA US","2014-01-24",,,"0.00","0.0","1.0"
"USC00131233","CARROLL, IA US","2014-01-25",,,"0.00","0.0","0.0"
"USC00131233","CARROLL, IA US","2014-01-26",,,"0.00","0.0","0.0"
"USC00131233","CARROLL, IA US","2014-01-27",,,"0.00","0.0","0.0"
"USC00131233","CARROLL, IA US","2014-01-28",,,"0.00","0.0","0.0"
"USC00131233","CARROLL, IA US","2014-01-29",,,"0.00","0.0","0.0"
"USC00131233","CARROLL, IA US","2014-01-30",,,"0.00","0.0","0.0"
"USC00131233","CARROLL, IA US","2014-01-31",,,"0.00","0.0","0.0"
"USC00131233","CARROLL, IA US","2014-02-01",,,"0.06","1.0","1.0"
"USC00131233","CARROLL, IA US","2014-02-02",,,"0.00","0.0","1.0"
"USC00131233","CARROLL, IA US","2014-02-03",,,"0.00","0.0","1.0"
"USC00131233","CARROLL, IA US","2014-02-04",,,"0.00","0.0","0.0"
"USC00131233","CARROLL, IA US","2014-02-05",,,"0.11","1.5","2.0"
"USC00131233","CARROLL, IA US","2014-02-06",,,"0.00","0.0","2.0"
"USC00131233","CARROLL, IA US","2014-02-07",,,"0.00","0.0","2.0"
"USC00131233","CARROLL, IA US","2014-02-08",,,"0.02","0.0",
"USC00131233","CARROLL, IA US","2014-02-09",,,"0.05","0.5",
"USC00131233","CARROLL, IA US","2014-02-10",,,"0.00","0.0","2.0"
"USC00131233","CARROLL, IA US","2014-02-11",,,"0.00","0.0","2.0"
"USC00131233","CARROLL, IA US","2014-02-12",,,"0.00","0.0","2.0"
"USC00131233","CARROLL, IA US","2014-02-13",,,"0.00","0.0","1.0"
